restaurant_name,categories,address,review_count,rating,station_name,distance
Cafe Berta,Cafes,Piazza Guido Chigi Saracini,3,4.7,Terminal Bus,543.0627776657673
La Grotta di San Francesco,"Seafood, Tuscan",Via Camollia 25,1,5.0,Terminal Bus,1000.1718741723432
Tia Loca,"Pizza, Italian, Mediterranean",Via Bettino Ricasoli 55,2,2.5,Terminal Bus,605.1366828898593
Ristorante Minohana,Tuscan,Viale Vittorio Emanuele II 32,2,1.0,Terminal Bus,436.5203523030188
Pasta Mondo,"Pizza, Italian, Pasta Shops",Via Camollia 173,1,5.0,Terminal Bus,660.6274891256949
Cartazucchero,"Used Bookstore, Bookstores, Cafeteria",Via Camollia 92,1,5.0,Terminal Bus,795.2974473954035
Ristorante Pizzeria I Gabellieri,Pizza,Via V. Emanuele 75,2,4.0,Terminal Bus,425.9489617725945
Il Salotto,Tuscan,Via Camollia 32,3,3.7,Terminal Bus,929.2421178124687
Bar Cecco,"Cafes, Fast Food, Pizza, Coffee & Tea",Viale Camillo Benso Conte Di Cavour,3,3.0,Terminal Bus,875.4986776010403
Medo Cucina Arte & Vino,Vegetarian,Piazza del Sale 3,1,5.0,Terminal Bus,967.1845590914659
la veranda,Italian,Piazza Calabria,6,4.7,Vico Alto,50.228357191496194
Skile' Music Bar,Cafes,Piazza Calabria 18,1,3.0,Vico Alto,81.3421873973679
Antica Trattoria Botteganova,"Italian, Bars",Strada Chiantigiana 29,1,5.0,Vico Alto,686.5402064357199
Mc Donald's,"Fast Food, Burgers",Via Fiorentina 124,1,2.0,Vico Alto,482.42728335155084
Fontebecci,"Pizza, Italian",Via Fiorentina 133,2,2.0,Vico Alto,572.730254582314
Il Bargello,"Bars, Trattorie, Tuscan",Via di Citta' 53,23,4.5,Casa dell'Ambiente,1009.1284218845645
Zest,"Italian, Wine Bars",Costa di Sant'antonio 13,26,4.7,Casa dell'Ambiente,832.934517504512
Fonte Giusta,Tuscan,Via Camollia 102,21,4.6,Casa dell'Ambiente,542.597331378181
La Prosciutteria,"Wine Bars, Tuscan",Via di Pantaneto,34,4.7,Casa dell'Ambiente,985.9909341783866
