latitude,longitude,number_of_bikes,station_name,restaurant_name,categories,address,review_count,rating,distance
43.3205234076899,11.32322528552777,10,Fortezza,Nannini,"Desserts, patisserie/cake shop, cafes",Via banchi di sopra 24,20.0,4.2,691.1534525262215
43.3205234076899,11.32322528552777,10,Fortezza,Gallo nero,Tuscan,Via del porrione 65,11.0,4.4,945.5898802856852
43.3205234076899,11.32322528552777,10,Fortezza,Osteria il campaccio,Trattoria,Vicolo del campaccio 2,,,429.0
43.3205234076899,11.32322528552777,10,Fortezza,Pizzeria alle scalette,Pizzeria,Viale curtatone 18,,,418.0
43.3205234076899,11.32322528552777,10,Fortezza,Zest ristorante & winebar,"Wine bar, cafe, coffee, and tea house, italian restaurant",Costa di sant'antonio 13,,,456.0
43.3205234076899,11.32322528552777,10,Fortezza,Antica osteria da divo,"French restaurant, italian restaurant, mediterranean restaurant",Via franciosa 25,,,487.0
43.3205234076899,11.32322528552777,10,Fortezza,Pasticceria corsini siena,"Bakery, café, restaurant",Viale a. diaz,,,515.0
43.3205234076899,11.32322528552777,10,Fortezza,Bar silvana,,Viale xxiv maggio 52,,,249.0
43.3205234076899,11.32322528552777,10,Fortezza,Enzo,"Hair salon, restaurant",Via camollia 49,,,566.0
43.3205234076899,11.32322528552777,10,Fortezza,Ristorante san desiderio,"Pizzeria, italian restaurant",Piazzetta bonelli luigi 2,,,623.0
43.3205234076899,11.32322528552777,10,Fortezza,Caffè fiorella,Café,Via di città 13,,,648.0
43.3205234076899,11.32322528552777,10,Fortezza,Morbidi,Deli,Via b. di sopra 73,,,612.0
43.32898332166825,11.321913356869572,10,Antiporto,Ravioli wang,Chinese,Viale vittorio emanuele ii 38,9.0,4.8,120.58067642097888
43.32898332166825,11.321913356869572,10,Antiporto,Zest,"Italian, wine bars",Costa di sant'antonio 13,26.0,4.7,1132.2463792402075
43.32898332166825,11.321913356869572,10,Antiporto,Fonte giusta,Tuscan,Via camollia 102,21.0,4.6,563.9911785537508
43.32898332166825,11.321913356869572,10,Antiporto,Il vinaio,"Sandwiches, tuscan, fast food",Via camollia 167,12.0,4.3,414.7080485270773
43.32898332166825,11.321913356869572,10,Antiporto,Compagnia dei vinattieri,Tuscan,"Via delle terme, 79",24.0,4.3,1177.428981530476
43.32898332166825,11.321913356869572,10,Antiporto,Taverna di cecco,Tuscan,Via cecco angliolieri 19,52.0,4.5,1287.2085725139164
43.32898332166825,11.321913356869572,10,Antiporto,La chiacchiera,Italian,Via costa di san antonio 4,23.0,4.3,1135.7333916353962
43.32898332166825,11.321913356869572,10,Antiporto,Salefino vino e cucina,"Tuscan, wine bars",Via degli umiliati 1,11.0,4.5,729.2246722651199
43.32898332166825,11.321913356869572,10,Antiporto,Café nannini,Cafes,Piazza matteotti 32,14.0,4.4,965.2285567437652
43.32898332166825,11.321913356869572,10,Antiporto,Ristorante pizzeria i gabellieri,Pizza,Via v. emanuele 75,2.0,4.0,21.55550155548726
43.32898332166825,11.321913356869572,10,Antiporto,Ristorante san domenico,Tuscan,Via di camporegio 15,7.0,4.7,1102.8594267706262
43.32898332166825,11.321913356869572,10,Antiporto,Osteria di kamollia,Tuscan,Via di camollia 114,9.0,4.2,553.8601830634374
43.32898332166825,11.321913356869572,10,Antiporto,L'oro di siena,"Pizza, italian, trattorie",Via garibaldi 61,9.0,4.8,892.8690137883399
43.32898332166825,11.321913356869572,10,Antiporto,Osteria il grattacielo,Italian,Via pontani 8,36.0,4.1,1205.0572007002395
43.32898332166825,11.321913356869572,10,Antiporto,Sushiko,"Sushi bars, asian fusion",Piazzale carlo rosselli 25,2.0,4.0,216.55854892762764
43.32898332166825,11.321913356869572,10,Antiporto,Pizzeria alle scalette,Pizza,Viale curtatone 18,5.0,4.6,979.1505547054104
43.32898332166825,11.321913356869572,10,Antiporto,Ristorante da enzo,Italian,Via camollia 49,7.0,4.6,691.8371797785406
43.32898332166825,11.321913356869572,10,Antiporto,Trattoria la tellina,"Mediterranean, tuscan, trattorie",Via delle terme 52,6.0,4.3,1201.964874917085
